,Дата операции,Дата платежа,Номер карты,Статус,Сумма операции,Валюта операции,Сумма платежа,Валюта платежа,Кэшбэк,Категория,MCC,Описание,Бонусы (включая кэшбэк),Округление на инвесткопилку,Сумма операции с округлением
110,15.12.2021 16:22:42,15.12.2021,*7197,OK,-34.0,RUB,-34.0,RUB,,Фастфуд,5814.0,Rumyanyj Khleb,0,0,34.0
107,15.12.2021 18:46:47,15.12.2021,*7197,OK,-118.0,RUB,-118.0,RUB,,Фастфуд,5814.0,IP Leonteva T.G.,2,0,118.0
1949,15.12.2020 13:34:55,15.12.2020,*7197,OK,-56.0,RUB,-56.0,RUB,,Фастфуд,5814.0,Rumyanyj Khleb,1,0,56.0
3362,12.12.2019 14:07:25,15.12.2019,*7197,OK,-99.0,RUB,-99.0,RUB,,Фастфуд,5814.0,Baggins coffee,1,0,99.0
5153,13.12.2018 19:28:25,15.12.2018,*7197,OK,-110.0,RUB,-110.0,RUB,,Фастфуд,5814.0,McDonald's,2,0,110.0
5156,13.12.2018 13:58:35,15.12.2018,*7197,OK,-100.0,RUB,-100.0,RUB,,Фастфуд,5814.0,Coffeeport,2,0,100.0
284,15.11.2021 12:10:47,15.11.2021,*4556,OK,-56.0,RUB,-56.0,RUB,,Фастфуд,5814.0,Rumyanyj Khleb,0,0,56.0
3501,13.11.2019 16:29:53,15.11.2019,*4556,OK,-60.0,RUB,-60.0,RUB,,Фастфуд,5814.0,Piterskij Ponchik,0,0,60.0
3499,13.11.2019 17:26:45,15.11.2019,*4556,OK,-99.0,RUB,-99.0,RUB,,Фастфуд,5814.0,Baggins coffee,0,0,99.0
5315,14.11.2018 00:00:00,15.11.2018,*7197,OK,-28.0,RUB,-28.0,RUB,,Фастфуд,5814.0,"OOO ""Nord-S""",0,0,28.0
5317,14.11.2018 00:00:00,15.11.2018,*7197,OK,-4.0,RUB,-4.0,RUB,,Фастфуд,5814.0,"OOO ""Nord-S""",0,0,4.0
5308,14.11.2018 00:00:00,15.11.2018,*7197,OK,-77.0,RUB,-77.0,RUB,,Фастфуд,5814.0,"OOO ""Nord-S""",1,0,77.0
5309,14.11.2018 00:00:00,15.11.2018,*7197,OK,-198.0,RUB,-198.0,RUB,,Фастфуд,5814.0,"OOO ""Nord-S""",3,0,198.0
5314,14.11.2018 00:00:00,15.11.2018,*7197,OK,-134.0,RUB,-134.0,RUB,,Фастфуд,5814.0,"OOO ""Nord-S""",2,0,134.0
2233,13.10.2020 10:42:13,15.10.2020,*7197,OK,-129.0,RUB,-129.0,RUB,,Фастфуд,5814.0,Pingvin Kofe I Chaj,2,0,129.0
3671,13.10.2019 14:02:00,15.10.2019,*4556,OK,-90.0,RUB,-90.0,RUB,,Фастфуд,5814.0,Kofe s sobojj,0,0,90.0
3685,10.10.2019 18:35:15,15.10.2019,*4556,OK,-59.0,RUB,-59.0,RUB,,Фастфуд,5814.0,McDonald's,0,0,59.0
649,15.09.2021 12:11:12,15.09.2021,*7197,OK,-110.0,RUB,-110.0,RUB,,Фастфуд,5814.0,Mouse Tail,2,0,110.0
652,15.09.2021 10:12:03,15.09.2021,*7197,OK,-56.0,RUB,-56.0,RUB,,Фастфуд,5814.0,Rumyanyj Khleb,1,0,56.0
645,15.09.2021 16:02:38,15.09.2021,*7197,OK,-110.0,RUB,-110.0,RUB,,Фастфуд,5814.0,Mouse Tail,2,0,110.0
